"Path";"Type";"DataType";"Functional Label";"Summary";"Description";"TechnicalComments";"Order";"Size";"Precision";"IsMandatory";"IsTechnicalData";"Status";"Tags";"DataOwners";"DataStewards"
"\modele ERP\sites\a_un_frigo";"\Modèle\Table\Colonne";"Boolean";"a_un_frigo";;"Indique si le site possède un frigo.";;"3";;;"Non";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\modele ERP\clients\CA 2022";"\Modèle\Table\Colonne";"VariableString";"CA 2022";;"Chiffre d'affaires pour l'année 2022.";;"15";"50";;"Non";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\modele ERP\courses\camion";"\Modèle\Table\Colonne";"VariableString";"camion";;"Type de camion utilisé pour la course.";;"3";"7";;"Oui";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\modele ERP\camions\capacité_poids";"\Modèle\Table\Colonne";"Integer";"capacité_poids";;"Capacité de poids du camion.";"en kilo";"3";;;"Non";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\modele ERP\camions\capacité_volume";"\Modèle\Table\Colonne";"Integer";"capacité_volume";;"Capacité de volume du camion.";"en m3";"2";;;"Non";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\modele ERP\courses\CHAUFFEUR";"\Modèle\Table\Colonne";"Integer";"chauffeur";;"Identifiant du chauffeur pour la course.";;"7";;;"Oui";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\referentiel\ISIC codes\code";"\Modèle\Table\Colonne";"Integer";"code";;"Code associé à la classification ISIC.";;"1";;;"Oui";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\referentiel\département\code département";"\Modèle\Table\Colonne";"VariableString";"code département";;"Code associé au département.";;"1";"2";;"Oui";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\referentiel\pays\code pays";"\Modèle\Table\Colonne";"VariableString";"code pays";;"Code associé au pays.";;"1";"2";;"Oui";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\referentiel\région\code pays";"\Modèle\Table\Colonne";"VariableString";"code pays";;"Code associé au pays pour la région.";;"3";"2";;"Oui";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\referentiel\région\code région";"\Modèle\Table\Colonne";"VariableString";"code région";;"Code associé à la région.";;"1";"2";;"Oui";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\referentiel\département\code région";"\Modèle\Table\Colonne";"VariableString";"code région";;"Code associé à la région pour le département.";;"3";"2";;"Oui";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\modele ERP\adresses\code_postal";"\Modèle\Table\Colonne";"Integer";"code_postal";;"Code postal de l'adresse.";;"4";;;"Oui";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\modele ERP\clients\compliance status";"\Modèle\Table\Colonne";"VariableString";"compliance status";"Statut de conformité du client";"Nomenclature décrite par données référentielles. Décrit le risque de faire des affaires avec cette entité.";;"8";"2";;"Oui";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\modele ERP\adresses\coordonnées";"\Modèle\Table\Colonne";"VariableString";"coordonnées";;"Coordonnées géographiques de l'adresse.";;"5";"50";;"Non";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\modele ERP\factures\date";"\Modèle\Table\Colonne";"DateTime";"date";;"Date de la facture.";;"3";;;"Non";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\modele ERP\clients\date d'enregistrement";"\Modèle\Table\Colonne";"Date";"date d'enregistrement";"date à laquelle les données de ce nouveau client ont été intégrées à la base. A renouveler tous les deux ans par consentement. ";"Date à laquelle les données de ce nouveau client ont été intégrées à la base. À renouveler tous les deux ans par consentement.";;"6";;;"Oui";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\modele ERP\colis\date_reception";"\Modèle\Table\Colonne";"DateTime";"date_reception";;"Date de réception du colis.";;"2";;;"Non";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\modele ERP\adresses\département";"\Modèle\Table\Colonne";"VariableString";"département";;"Département de l'adresse.";;"8";"2";;"Non";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\referentiel\département\département";"\Modèle\Table\Colonne";"VariableString";"département";;"Département associé.";;"2";"50";;"Oui";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\modele ERP\sites\directeur";"\Modèle\Table\Colonne";"Integer";"Directeur";;"Identifiant du directeur du site.";;"5";;;"Oui";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\referentiel\ISIC codes\Division (2-digit)";"\Modèle\Table\Colonne";"VariableString";"Division (2-digit)";;"Division (2 chiffres) de la classification ISIC.";;"4";"50";;"Non";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\modele ERP\clients\DUNS";"\Modèle\Table\Colonne";"Integer";"DUNS";"Data Universal Numbering System";"Numéro international d'identification de l'entreprise fourni par Dun & Bradstreet.";;"7";;;"Non";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\modele ERP\clients\e-mail";"\Modèle\Table\Colonne";"VariableString";"e-mail";;"Adresse e-mail du client.";;"5";"50";;"Oui";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\modele ERP\colis\est_refrigere";"\Modèle\Table\Colonne";"Boolean";"est_refrigere";;"Indique si le colis est réfrigéré.";;"4";;;"Non";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\modele ERP\camions\est_refrigere";"\Modèle\Table\Colonne";"Boolean";"est_refrigere";;"Indique si le camion est réfrigéré.";;"4";;;"Non";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\referentiel\ISIC codes\Exclusions";"\Modèle\Table\Colonne";"VariableString";"Exclusions";"Codes ISIC exclus";"Codes ISIC exclus pour une catégorie";;"7";"50";;"Non";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\modele ERP\colis\facture";"\Modèle\Table\Colonne";"Integer";"facture";"Numéro de facture associé à un colis";"Numéro de facture associé à un colis expédié";;"5";;;"Oui";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\referentiel\ISIC codes\Group (3-digit)";"\Modèle\Table\Colonne";"VariableString";"Group (3-digit)";"Code ISIC à trois chiffres";"Code ISIC à trois chiffres pour une catégorie";;"5";"50";;"Non";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\modele ERP\clients\IBAN";"\Modèle\Table\Colonne";"VariableString";"IBAN";"Numéro IBAN du client";"Numéro IBAN associé à un client";;"10";"50";;"Non";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\modele ERP\adresses\id_adresse";"\Modèle\Table\Colonne";"Integer";"id_adresse";"Identifiant unique de l'adresse";"Identifiant unique associé à une adresse";;"1";;;"Oui";"Oui";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\modele ERP\courses\id_adresse_course_depart";"\Modèle\Table\Colonne";"Integer";"Id adresse course depart";"Identifiant de l'adresse de départ d'une course";"Identifiant unique associé à l'adresse de départ d'une course";;"5";;;"Oui";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\modele ERP\courses\id_adresse_course_destination";"\Modèle\Table\Colonne";"Integer";"Id adresse course destination";"Identifiant de l'adresse de destination d'une course";"Identifiant unique associé à l'adresse de destination d'une course";;"6";;;"Oui";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\modele ERP\colis\id_adresse_depart";"\Modèle\Table\Colonne";"Integer";"Id adresse depart";"Identifiant de l'adresse de départ du colis";"Identifiant unique associé à l'adresse de départ du colis";;"8";;;"Oui";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\modele ERP\colis\id_adresse_destination";"\Modèle\Table\Colonne";"Integer";"Id adresse destination";"Identifiant de l'adresse de destination du colis";"Identifiant unique associé à l'adresse de destination du colis";;"9";;;"Oui";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\modele ERP\clients\id_adresse_FK";"\Modèle\Table\Colonne";"Integer";"Id adresse fk";"Foreign Key ID";"Identifiant de la clé étrangère pour l'adresse du client";;"4";;;"Oui";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\modele ERP\employés\id_adresse_FK";"\Modèle\Table\Colonne";"Integer";"Id adresse fk";"Foreign Key ID";"Identifiant de la clé étrangère pour l'adresse de l'employé";;"6";;;"Oui";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\modele ERP\sites\id_adresse_FK";"\Modèle\Table\Colonne";"Integer";"Id adresse fk";"Foreign Key ID";"Identifiant de la clé étrangère pour l'adresse du site";;"4";;;"Oui";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\modele ERP\colis\id_colis";"\Modèle\Table\Colonne";"Integer";"id_colis";"ID of the Package";"Identifiant unique du colis";;"1";;;"Oui";"Oui";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\modele ERP\suivi_colis\id_colis";"\Modèle\Table\Colonne";"Integer";"id_colis";"ID of the Package";"Identifiant unique du colis pour le suivi";;"2";;;"Oui";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\modele ERP\courses\id_course";"\Modèle\Table\Colonne";"Integer";"id_course";"ID of the Course";"Identifiant unique de la course";;"4";;;"Oui";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\modele ERP\suivi_colis\id_course";"\Modèle\Table\Colonne";"Integer";"id_course";"ID of the Course";"Identifiant unique de la course pour le suivi";;"1";;;"Oui";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\modele ERP\employés\id_employé";"\Modèle\Table\Colonne";"Integer";"id_employé";"Employee ID";"Identifiant unique de l'employé";;"1";;;"Oui";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\modele ERP\factures\id_facture";"\Modèle\Table\Colonne";"Integer";"id_facture";"Invoice ID";"Identifiant unique de la facture";;"1";;;"Oui";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\modele ERP\sites\id_site";"\Modèle\Table\Colonne";"Integer";"id_site";"Site ID";"Identifiant unique du site";;"1";;;"Oui";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
"\modele ERP\employés\id_site_FK";"\Modèle\Table\Colonne";"Integer";"Id site fk";"Foreign Key ID";"Identifiant de la clé étrangère pour le site de l'employé";;"8";;;"Oui";"Non";"Proposé";;"pdury@jems-group.com";"dsteward@jems-group.com"
